context_type,count
Röjningsröse,1105
Härdgrop,478
Skelettgrav,397
"Stensättning, rund",267
Grophus,232
Nedgrävning,227
Kolningsgrop,197
Slaggvarp,195
Odlingslager,193
Hög,180
Stenpackning,153
Kolbotten,141
Brandgrop,140
Avfallsgrop,125
Bengrop,118
Brandgrav,117
Mörkfärgning,108
Brandlager,107
"Stensättning, oregelbunden",105
"Stensättning, rundad",100
Röse,91
Skärvstensflak,81
Urnebrandgrop,80
Odlingsröse,75
Vattenhål,73
Stensträng,72
Blästugn,70
Stolpfundament,69
Gropsystem,64
Grav,63
Sotlager,60
Kollager,60
"Stensättning, rektangulär",60
Skärvstenslager,54
"Stensättning, oval",54
Urnegrop,53
Blockgrav,48
Flatmarksgrav,46
Urnegrav,45
Sotfläck,45
Fyndplats,45
Ässja,44
Terrasskant,43
Vallsektion,38
Tjärdal,38
Blästerugn,37
Slagglager,36
Slagg,35
Husgrund,34
Benlager,33
Skärvstenskoncentration,32
Pålspärr,31
Slaggrop,30
Skärvstenspackning,30
Eldstad,30
"Stensättning, röseliknande",29
Terrass,29
Skärvstenssamling,28
Stensamling,28
Grophärd,27
Tjärgrop,27
Kalkputs,27
Utkastlager,25
Liggmila,25
Stock,24
Stenläggning,23
Kolkoncentration,23
Lertäktsgrop,23
Rest sten,22
Härd/kokgrop,21
Broläggning,21
Fast fiske,21
Odlingsterrass,21
Boplatsgrop,21
Vall,21
Benkoncentration,21
Mosslik,21
Hålväg,20
Avfallslager,20
Skärvstensvall,20
Smidesgrop,19
Lertäkt,19
Hyddbotten,18
Tomtning,18
Röjningshorisont,18
Spisröse,17
"Stensättning, kvadratisk",17
Sotgrop,17
Bålplats,17
Åkerterrass,17
Hydda,17
Komplext stenröse,17
Stör,16
Odlingsyta,16
Skrotstensvarp,16
Resmila,16
Röjningslager,16
Gånggrift,16
Schaktugn,15
Skärvstensgrop,15
Jordugn,15
Våtmarkslager,15
Stenkista,14
Bengömma,14
Täktgrop,14
Hyttbacke,14
Skelettbegravning,14
Risbädd,14
Träkonstruktion,13
Kol- och sotlager,13
Urnebrandgrav,12
Långdös,12
Långhärd,12
Grop/stolphål,12
Gravgömma,12
Blästplats,12
"Stensättning, skeppsformig",12
Källargrop,11
Mittblocksstensättning,11
Skeppssättning,11
Boplatsvall,11
Smideshärd,11
Offergrop,11
Torvlager,11
Syllstock,11
Slaggvarp/ugn,11
Fyndkoncentration,11
Terrassering,10
Hägnad,10
Marklager,10
Treudd,10
Sot/kollager,10
Kökkenmödding,10
Kokstensgrop,10
Gropugn,10
Skeppsvrak,10
Kantränna,10
Stenkammargrav,10
Hägnadsvall,10
Markhorisont,9
Kolmila,9
Offerplats,9
Förvaringsgrop,9
Kokgrop/härd,9
"Grav, omarkerad",9
Kolupplag,9
Bendeposition,9
"Stenkonstruktion, oregelbunden",9
Vägglinje,9
Aktivitetslager,9
Tjärtratt,9
Brukningslager,8
Käpphål,8
Pinnhål,8
Rost,8
"Stensättning, fyrsidig",8
Aktivitetsyta,8
Stenlyft,8
Kolfläck,8
Stenmur,8
Vallgrav,8
Undergrund,8
Kammargrav,8
Kolgrop,8
Eldpall,7
Sekundärgrav,7
Årderspår,7
Smedja,7
Brygga,7
Huslämning,7
Pålrad,7
Stenkonstruktion,7
Djurgrav,7
Slaggförekomst,7
Stenkrets,7
Horndeposition,7
Reduktionsugn,7
Raseringslager,7
Gravhög,6
Kalkugn,6
Ugn?,6
Slaggvall,6
Keramikkoncentration,6
Arbetsgrop,6
Vägg,6
Mittblocksgrav,6
Stlphål,6
Golvplanka,6
Husgrundsterrass,6
Resmila med vall,6
Domarring,6
Rökugn,6
Rustbädd,6
"Stensättning, Skeppsformad",6
Rostanläggning,6
Fägata,6
Gravränna,6
Järnframställningsugn,6
Stalotomt,6
Kupolugn,5
"Stensättning, tresidig",5
Syll,5
Härd?,5
Sotlins,5
Sotfärgning,5
Murliv,5
Sot- och kollager,5
Skärvstensgrav,5
Keramikugn,5
Våtmark,5
Konstruktionslager,5
Timmer,5
Gropanläggning,5
Lerlager,5
Stenfundament,5
Kolstybbslager,5
Tarandgrav,5
Husgrupp 3,5
Keramikdeposition,5
Kavelbro,5
Skeletgrav,5
Tramplager,5
"Kolbotten, resmila",5
Resmila med gropar,5
Fyrgrav,4
Fiskeanläggning,4
"Stensättning, högliknande",4
Färskningsområde,4
Bjälklag,4
Infiltrationslager,4
Klumpstensgrav,4
Brand/skelettgrav,4
Hyttruin,4
Skalkorn,4
Lerhärd,4
Härdpall,4
Långschakt,4
"Stensättning, Rund",4
Smidesplats,4
Omarkerad grav,4
Kolskikt,4
Avfallsgrop/härd,4
Golvläggning,4
Skärvstensförekomst,4
Rostningsgrop,4
Spismur,4
Gärdesgård,4
Lager 5,4
Lösfynd,4
"Skelettgrav, utan överbyggnad",4
Röjningssten,4
Stensträng 3,4
Stensyll,4
Kolansamling,4
Kolningsanläggning,4
"Stensättning, övertorvad",4
Varmluftsugn,4
Fyllnadslager,4
Hyddvall,4
Pålverk,4
Fartygslämning,4
Kollins,4
Utjämningslager,4
Risgärde,4
Skeppsättning,4
Långhög,4
"Hög, rundad",4
Tjärränna,4
Flätgärdesgård,4
Grävenhet,3
Damm,3
Depå,3
Åkervall,3
Syllstensrad,3
Latringrop,3
"Väg, stenlagd",3
Asklager,3
Masugn,3
Stadsvall,3
Borgvall,3
Spant,3
Stubbe,3
Grundmur,3
Stenram,3
Spång,3
Rostbås,3
Lerplatta,3
