species_split,match_level,genus,family,order,sead_common_name,sead_species_name,kingdom,gbif_usage_key,gbif_canonical_name,gbif_rank,gbif_match_type,gbif_confidence,gbif_url,species_split_english
lind,species (common name),Tilia,Tiliaceae,Malvales,lind,Tilia cordata,Plantae,3152047,Tilia cordata,SPECIES,EXACT,99,https://www.gbif.org/species/3152047,Linden
gran,species (common name),Picea,Pinaceae,Pinales,gran,Picea abies ssp abies,Plantae,7306267,Picea abies abies,SUBSPECIES,EXACT,100,https://www.gbif.org/species/7306267,
hassel,species (common name),Corylus,Corylaceae,Fagales,hassel,Corylus avellana,Plantae,2875979,Corylus avellana,SPECIES,EXACT,99,https://www.gbif.org/species/2875979,Barcelona-nuts
al,"genus (suffix, ambiguous)",,,,,,,,,,,,,
salix sp,genus (latin),Salix,Salicaceae,Salicales,,,Plantae,3039576,Salix,GENUS,EXACT,95,https://www.gbif.org/species/3039576,Sallow
björk,genus (suffix-inferred),Betula,Betulaceae,Fagales,,,Plantae,2875008,Betula,GENUS,HIGHERRANK,95,https://www.gbif.org/species/2875008,Birch
ek,species (common name),Quercus,Fagaceae,Fagales,ek,Quercus robur,Plantae,2878688,Quercus robur,SPECIES,EXACT,99,https://www.gbif.org/species/2878688,Common Oak
får,animal (common name),,,,får,Ovis aries,Animalia,2441110,Ovis aries,SPECIES,EXACT,99,https://www.gbif.org/species/2441110,Domestic Sheep
get,animal (common name),,,,get,Capra hircus,Animalia,2441056,Capra hircus,SPECIES,EXACT,100,https://www.gbif.org/species/2441056,Billy Goat
snärjmåra,species (common name),Galium,Rubiaceae,Gentianales,snärjmåra,Galium aparine var aparine,Plantae,7474788,Galium aparine aparine,VARIETY,EXACT,100,https://www.gbif.org/species/7474788,
havre,species (common name),Avena,Poaceae,Poales,havre,Avena sativa var sativa,Plantae,7432992,Avena sativa sativa,VARIETY,EXACT,100,https://www.gbif.org/species/7432992,
asp,species (common name),Populus,Salicaceae,Salicales,asp,Populus tremula,Plantae,3040249,Populus tremula,SPECIES,EXACT,100,https://www.gbif.org/species/3040249,Aspen
hordeum,genus (latin),Hordeum,Poaceae,Poales,,,Plantae,2706050,Hordeum,GENUS,EXACT,96,https://www.gbif.org/species/2706050,Barley
tall,species (common name),Pinus,Pinaceae,Pinales,tall,Pinus sylvestris var sylvestris,Plantae,7230693,Pinus sylvestris sylvestris,VARIETY,EXACT,100,https://www.gbif.org/species/7230693,Baltic pine
örtstam,,,,,,,,,,,,,,
sol,,,,,,,,,,,,,,
