landskap,manual_landskap,count
Uppland,Uppland,6042
Skåne,Skåne,4780
Östergötland,Östergötland,3212
Södermanland,Södermanland,2942
Halland,Halland,1835
Bohuslän,Bohuslän,1773
Småland,Småland,1760
Närke,Närke,1321
Västergötland,Västergötland,1262
Västmanland,Västmanland,1247
Dalarna,Dalarna,669
Blekinge,Blekinge,563
Värmland,Värmland,379
Norrbotten,Norrbotten,328
Gotland,Gotland,294
Lappland,Lappland,293
Medelpad,Medelpad,269
Öland,Öland,236
Jämtland,Jämtland,214
Bo,Bohuslän,173
Ångermanland,Ångermanland,116
Härjedalen,Härjedalen,108
Hälsingland,Hälsingland,88
Gästrikland,Gästrikland,83
Vg,Västergötland,81
Ha,Halland,79
Västerbotten,Västerbotten,42
Sm,Småland,39
Sk,Skåne,18
Dalsland,Dalsland,16
Sö,Södermanland,15
Nä,Närke,11
vg,Västergötland,5
Vs,Västmanland,3
Up,Uppland,3
Ög,Östergötland,2
