material,count,material_manual_split_1,material_manual_split_2,material_manual_split_3,material_english_1,material_english_2,material_english_3,modification_manual_1,sead_element_1,sead_element_2,sead_element_3,sead_modification_type,sead_record_type_id,isNew
Träkol,21891,träkol,,,charcoal,,,,Charcoal,,,,9,True
Förkolnat frö,2667,frö,,,seed,,,Förkolnat,Seed,,,Carbonised,2,True
"Ben, obrända",1245,ben,,,bone,,,obrända,Bone(s),,,,14,
"Ben, brända",1133,ben,,,bone,,,brända,Bone(s),,,Carbonised,14,
Trä,1087,trä,,,tree,,,,Wood,,,,2,
Skalfragment,551,Skalfragment,,,shell fragment,,,,Shell,,,,2,False
Organisk beläggning,385,Organisk beläggning,,,organic coating,,,,Unknown,,,,0,
Växtdelar,334,Växtdelar,,,plant parts,,,,Unspecified part,,,,2,
Bark,302,Bark,,,Bark,,,,Bark,,,,2,
Harts,253,Harts,,,Resin,,,,Resin,,,,2,
Tand,155,Tand,,,tooth,,,,Tooth,,,,14,
Frö (ej förkolnat),36,Frö,,,seed,,,ej förkolnat,Seed,,,,2,
Animalier,33,Animalier,,,animal,,,,Animal parts,,,,14,
Kol i järn,30,Kol i järn,,,coal,,,,Unknown,,,,0,
Karbonat,27,Karbonat,,,carbonate,,,,Unknown,,,,0,
Humus,24,Humus,,,humus,,,,Unknown,,,,0,
Okänd,22,Okänd,,,unknown,,,,Unknown,,,,0,
Horn,21,Horn,,,horn,,,,Horn,,,,14,
Torv,17,torv,,,peat,,,,Peat,,,,16,
Sotig jord,17,jord,,,soil,,,sooty,Soil,,,,12,
Organiskt material,15,Organiskt material,,,organic material,,,,Unknown,,,,0,
Bröd,6,bröd,,,bread,,,,Unspecified part,,,,2,
Kåda,6,kåda,,,resin,,,,Resin,,,,2,
Sediment,6,Sediment,,,sediment,,,,Unknown,,,,0,
Mossa,5,Mossa,,,moss,,,,Moss,,,,2,
Sot/Organiskt material,5,sot,organiskt material,,soot,organic material,,,Unknown,,,,0,
Trä/Bark/Växtdelar,3,trä,bark,växtdelar,tree,bark,plant parts,,Wood,Bark,Unspecified part,,2,
Kollagen,3,Kollagen,,,collagen,,,,Collagen,,,,14,
Förkolnad,3,,,,unknown,,,charred,Unknown,,,Carbonised,0,
Skal/mollusker,3,skal,mollusker,,shell ,molluscs,,,Shell,Molluscs,,,4,
"Ben, obränt karbonat frakt.",2,ben,karbonat,,ben,,,uncalcined,Bone(s),,,,14,
Pollen,2,pollen,,,pollen,,,,Pollen grain,,,,2,
Järnslagg,2,järnslagg,,,iron slag,,,,Unknown,,,,0,
"Ben,horn",2,ben,horn,,bone,horn,,,Bone(s),,,,14,
Fekalier,1,fekalier,,,feces,,,,Feces,,,,16,
Svamp,1,svamp,,,mushroom,,,,Fungi,,,,0,
Gyttja,1,Gyttja,,,mud,,,,Mud,,,,0,
,1,okänd,,,unknown,,,,Unknown,,,,0,
Stenkol,1,Stenkol,,,coal,,,,Coal,,,,12,
Krossad keramik,1,Krossad keramik,,,ceramics,,,,Ceramics,,,Fragmented,21,
Fisk,1,fisk,,,fish,,,,Fish,,,,14,
Kol/sot,1,Kol ,sot,,coal,soot,,,Coal,Soot,,,12,
