manual_species,count,contributing_species_split,species_split_english,not_a_species_but_a,resolved_order,resolved_family,resolved_genus,resolved_species,resolved_scientific_name,common_name_text,common_name_language,manually_resolved,needs_manual_review,review_reason,match_level,sead_common_name,sead_species_name,kingdom,gbif_usage_key,gbif_canonical_name,gbif_rank,gbif_match_type,gbif_confidence,gbif_url,latin_text,ambiguous_genus_candidates,gbif_source,gbif_genus,gbif_family,gbif_order,gbif_kingdom,gbif_candidate,taxonomy_changes_needed
al,6281,"al, albark, alknopp, alkottar, alkotte",,,Fagales,Betulaceae,Alnus,sp.,,al,2.0,TRUE,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Alnus, Lathyrus","genus (suffix, ambiguous)",,,,,,,,,,al,"Alnus, Lathyrus",,,,,,,new Swedish common name 'al'
tall,3046,"kottefjäll tall, kottefjäll. tall, tall, tallbark, tallbarr, tallkotte, tallkottefjäll, talll",Baltic pine,,Pinales,Pinaceae,Pinus,sylvestris var sylvestris,Pinus sylvestris var sylvestris,tall,2.0,,False,,species (common name),tall,Pinus sylvestris var sylvestris,Plantae,7230693.0,Pinus sylvestris sylvestris,VARIETY,EXACT,100.0,https://www.gbif.org/species/7230693,tall,,carried-over (species_split_taxa_gbif_matches.csv),Pinus,Pinaceae,Pinales,Plantae,Pinus sylvestris var sylvestris,
korn,2231,"korn, kornhalm, skalkorn",,,Poales,Poaceae,Hordeum,vulgare,,korn,2.0,TRUE,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Impatiens, Hordelymus, Hordeum","genus (suffix, ambiguous)",,,,,,,,,,korn,"Impatiens, Hordelymus, Hordeum",,,,,,,new Swedish common name 'korn'
björk,2083,"bjrök, björk, björk bulk, björkl, björknäver",Birch,,Fagales,Betulaceae,Betula,sp.,Betula sp.,björk,2.0,,False,,genus (suffix-inferred),,,Plantae,2875008.0,Betula,GENUS,HIGHERRANK,95.0,https://www.gbif.org/species/2875008,björk,,carried-over (species_split_taxa_gbif_matches.csv),Betula,Betulaceae,Fagales,Plantae,Betula,new Swedish common name 'björk'
ek,1809,"ek, ek bulk, ekbark, ekl, ekollon",Common Oak,,Fagales,Fagaceae,Quercus,robur,Quercus robur,ek,2.0,,False,,species (common name),ek,Quercus robur,Plantae,2878688.0,Quercus robur,SPECIES,EXACT,99.0,https://www.gbif.org/species/2878688,ek,,carried-over (species_split_taxa_gbif_matches.csv),Quercus,Fagaceae,Fagales,Plantae,Quercus robur,"new taxon 'Quercus robur' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'ek'"
ko,1767,"kalv, ko",Aurochs,,Artiodactyla,Bovidae,Bos,taurus,Bos taurus,ko,2.0,,False,,animal (common name),ko,Bos taurus,Animalia,2441022.0,Bos taurus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2441022,ko,,carried-over (species_split_taxa_gbif_matches.csv),Bos,Bovidae,Artiodactyla,Animalia,Bos taurus,new order 'Artiodactyla'; new family 'Bovidae'; new genus 'Bos'; new taxon 'Bos taurus' (author_id NULL); new Swedish common name 'ko'
hassel,1712,"hasel, hassel, hasselnöt, hasselskal, obränd hasselnöt",Barcelona-nuts,,Fagales,Corylaceae,Corylus,avellana,Corylus avellana,hassel,2.0,,False,,species (common name),hassel,Corylus avellana,Plantae,2875979.0,Corylus avellana,SPECIES,EXACT,99.0,https://www.gbif.org/species/2875979,hassel,,carried-over (species_split_taxa_gbif_matches.csv),Corylus,Betulaceae,Fagales,Plantae,Corylus avellana,"new taxon 'Corylus avellana' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'hassel'"
gran,1258,"enmöjl gran, förkolnade granbarr, gran, granbar, granbark, granbarr, grankvist, kottefjäll gran",,,Pinales,Pinaceae,Picea,abies ssp abies,Picea abies ssp abies,gran,2.0,,False,,species (common name),gran,Picea abies ssp abies,Plantae,7306267.0,Picea abies abies,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/7306267,gran,,carried-over (species_split_taxa_gbif_matches.csv),Picea,Pinaceae,Pinales,Plantae,Picea abies ssp abies,
ran,1183,ran,,,Pinales,Pinaceae,Picea,abies ssp abies,Picea abies ssp abies,gran,2.0,TRUE,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Abies, Picea, Pseudotsuga, Taxus","genus (suffix, ambiguous)",,,,,,,,,,ran,"Abies, Picea, Pseudotsuga, Taxus",,,,,,,
människa,1173,"männinska, människa, männska",Human,,Primates,Hominidae,Homo,sapiens,Homo sapiens,människa,2.0,,False,,animal (common name),människa,Homo sapiens,Animalia,2436436.0,Homo sapiens,SPECIES,EXACT,100.0,https://www.gbif.org/species/2436436,människa,,carried-over (species_split_taxa_gbif_matches.csv),Homo,Hominidae,Primates,Animalia,Homo sapiens,new taxon 'Homo sapiens' (author_id NULL); new Swedish common name 'människa'
