author_raw,author_parsed,needs_review,flag_reason
Adamsen Chr. & Ebbesen K (red),"Adamsen, C. & Ebbesen, K. (ed.)",False,"editor,no_comma"
"Ahlbeck, M., Runer, J. & Dardel, E.","Ahlbeck, M., Runer, J. & Dardel, E.",False,
"Ahlbeck, Matthias","Ahlbeck, M.",False,
"Ahlbeck, Mattias","Ahlbeck, M.",False,
"Ahlbeck, Mattias & Gill, Alexander","Ahlbeck, M. & Gill, A.",False,
"Ahlbeck, Mattias & Guinard, Michel","Ahlbeck, M. & Guinard, M.",False,
"Ahlbeck, Mattias m fiberschakl","Ahlbeck, M.",False,
"Ahlgren, Sven & Ragnesten, Ulf","Ahlgren, S. & Ragnesten, U.",False,
"Ajneborn, Britt","Ajneborn, B.",False,
"Aldén Rudd, Petra","Aldén Rudd, P.",False,
"Aldén Rudd, Petra & Joansson, Thomas","Aldén Rudd, P. & Joansson, T.",False,
"Aldén Rudd, Petra & Johansson, Thomas","Aldén Rudd, P. & Johansson, T.",False,
"Aldén Rudd, Petra m fl","Aldén Rudd, P. et al.",False,et_al
"Alering, Åsa m fl","Alering, Å. et al.",False,et_al
"Alering, Åse & Nylén, Alexandra","Alering, Å. & Nylén, A.",False,
"Alexander, B., Carlsson, e. & Lögdqvist, A","Alexander, B., Carlsson, E. & Lögdqvist, A.",False,
"Alexander, Dunkan","Alexander, D.",False,
"Alexandersson, Kenneth","Alexandersson, K.",False,
"Alexandersson, Kenneth & Andersson, Anna-Karin","Alexandersson, K. & Andersson, A.",False,
"Alexandersson, Kenneth & Persson, Hans","Alexandersson, K. & Persson, H.",False,
"Alexandersson, Kenneth & Petersson, Magnus","Alexandersson, K. & Petersson, M.",False,
"Alexandersson, Kenneth m fl","Alexandersson, K. et al.",False,et_al
"Alfsdotter, Clara","Alfsdotter, C.",False,
"Algotsson, Åsa","Algotsson, Å.",False,
"Algotsson, Åsa & Swedberg, Stig","Algotsson, Å. & Swedberg, S.",False,
"Algotsson,. Åsa","Algotsson, Å.",False,
Allerstam Agneta m fl,Allerstam Agneta et al.,True,"et_al,no_comma"
"Alopaeus, Harry & Ulfhielm, Bo","Alopaeus, H. & Ulfhielm, B.",False,
"Alström, Jan","Alström, J.",False,
"Alström, Ulf","Alström, U.",False,
"Alström, Ulf & Anttila, Kaisu","Alström, U. & Anttila, K.",False,
"Altmer, Ander","Altmer, A.",False,
"Altner, Anders","Altner, A.",False,
"Altner, Anders & Carlsson, Eva","Altner, A. & Carlsson, E.",False,
"Altner, Anders & Streiffert, Jörgen","Altner, A. & Streiffert, J.",False,
"Altrock, Håkan","Altrock, H.",False,
"Ambrosiani, Björn","Ambrosiani, B.",False,
"Ambrosiani, Björn & Magnusson, Gösta","Ambrosiani, B. & Magnusson, G.",False,
"Ameziane, Jenny","Ameziane, J.",False,
"Anberg, Staffan","Anberg, S.",False,
"Anberg, Staffan & Alexandersson, Kenneth","Anberg, S. & Alexandersson, K.",False,
"Anberg, Staffan & Wattman, Nils","Anberg, S. & Wattman, N.",False,
"Anderssom, Jessica","Anderssom, J.",False,
"Andersson Färnström, C. & Aldén Rudd, P.","Andersson Färnström, C. & Aldén Rudd, P.",False,
"Andersson, Annika","Andersson, A.",False,
"Andersson, Berit","Andersson, B.",False,
"Andersson, C., Appelgren, K. & Sander, B.","Andersson, C., Appelgren, K. & Sander, B.",False,
"Andersson, Carolina & Appelgren, Katarina","Andersson, C. & Appelgren, K.",False,
"Andersson, Carolina & Hållans Stenholm, Ann-Mari","Andersson, C. & Hållans Stenholm, A.",False,
"Andersson, Charlotte","Andersson, C.",False,
"Andersson, Charlotte, Pettersson, Mats","Andersson, C. & Pettersson, M.",False,
"Andersson, F. m fl","Andersson, F. et al.",False,et_al
"Andersson, F., Guinard, M. & Sundström, L.","Andersson, F., Guinard, M. & Sundström, L.",False,
"Andersson, Fredrik","Andersson, F.",False,
"Andersson, Fredrik & Svensson, Ingeborg","Andersson, F. & Svensson, I.",False,
"Andersson, G & Beronius-Jörpeland, L","Andersson, G. & Beronius-Jörpeland, L.",False,
"Andersson, Gunnar","Andersson, G.",False,
"Andersson, Gunnar & Hedlund, John","Andersson, G. & Hedlund, J.",False,
"Andersson, Gunnar & Lidström-Holmberg, Cecilia","Andersson, G. & Lidström-Holmberg, C.",False,
"Andersson, Helena & Dardel, Erik","Andersson, H. & Dardel, E.",False,
"Andersson, Helena & Norr, Svante","Andersson, H. & Norr, S.",False,
"Andersson, J., Karlenby, L. & Söderberg, M.","Andersson, J., Karlenby, L. & Söderberg, M.",False,
"Andersson, Jessica","Andersson, J.",False,
"Andersson, Jessica & Nieminenj, Johannes","Andersson, J. & Nieminenj, J.",False,
"Andersson, Jessiva & niemingen, Johannes","Andersson, J. & niemingen, J.",False,
"Andersson, K., Annuswer, B., Karlsson, C & Åberg,","Andersson, K., Annuswer, B., Karlsson, C & Åberg",True,odd_tokens
"Andersson, K., Ekman, T., & Persson,B.","Andersson, K., Ekman, T. & Persson, B.",False,
"Andersson, Kenneth","Andersson, K.",False,
"Andersson, Kjell","Andersson, K.",False,
"Andersson, Kjell & Jonsson, Anders","Andersson, K. & Jonsson, A.",False,
"Andersson, Kjell & Wertwein, Göran","Andersson, K. & Wertwein, G.",False,
"Andersson, Lars","Andersson, L.",False,
"Andersson, Lars & Jonsson, Rebecka","Andersson, L. & Jonsson, R.",False,
"Andersson, Lars & Werthwein, Göran","Andersson, L. & Werthwein, G.",False,
"Andersson, Lars m fl","Andersson, L. et al.",False,et_al
"Andersson, Magnus","Andersson, M.",False,
"Andersson, Magnus & Wallebom, Björn","Andersson, M. & Wallebom, B.",False,
"Andersson, Magnus m fl","Andersson, M. et al.",False,et_al
"Andersson, S","Andersson, S.",False,
"Andersson, Sofia","Andersson, S.",False,
"Andersson, Sofia & Svensson, Eva","Andersson, S. & Svensson, E.",False,
"Andersson, Stina","Andersson, S.",False,
"Andersson, Stina & Wigforss, Johan","Andersson, S. & Wigforss, J.",False,
"Andersson, Thomas","Andersson, T.",False,
"Andersson, Thomas & Aspeborg, Håkan","Andersson, T. & Aspeborg, H.",False,
"Andersson, Thomas & Månsson, Stefan","Andersson, T. & Månsson, S.",False,
"Andréasson, Anna m. Fl","Andréasson, A. et al.",False,et_al
"Aneborn, Britt","Aneborn, B.",False,
"Anglert, Mats (red)","Anglert, M. (ed.)",False,editor
"Ankarlilja, Göran","Ankarlilja, G.",False,
"Annuswer, Bo","Annuswer, B.",False,
"Annuswer, Bo & Karlsson, Catarina","Annuswer, B. & Karlsson, C.",False,
Ansökningshandlingar,Ansökningshandlingar,True,no_comma
"Anund, Johan","Anund, J.",False,
"Anund, Johan m fl","Anund, J. et al.",False,et_al
"Anund, Johan, Bäck, Mathias & Ulväng, Göran","Anund, J., Bäck, M. & Ulväng, G.",False,
"Apel, J m fl","Apel, J. et al.",False,et_al
"Appelgren, K., Eklöf, N., & Evanni, L","Appelgren, K., Eklöf, N. & Evanni, L.",False,
"Appelgren, K., Nilsson, A., & Perming, A.","Appelgren, K., Nilsson, A. & Perming, A.",False,
"Appelgren, Katarina","Appelgren, K.",False,
"Appelgren, Katarina & Beckman-Thoor, Karin","Appelgren, K. & Beckman-Thoor, K.",False,
"Appelgren, Katarina & Blomqvist, Malin","Appelgren, K. & Blomqvist, M.",False,
"Appelgren, Katarina & Broberg, Anders","Appelgren, K. & Broberg, A.",False,
"Appelgren, Katarina & Evanni, Louise","Appelgren, K. & Evanni, L.",False,
"Appelgren, Katarina & Häringe Frisberg, Kajsa","Appelgren, K. & Häringe Frisberg, K.",False,
"Appelgren, Katarina & Nelson, Mats","Appelgren, K. & Nelson, M.",False,
"Appelgren, Katarina & Renck, Anna Maria","Appelgren, K. & Renck, A.",False,
"Appelgren, Katarina & Strucke, Ulf","Appelgren, K. & Strucke, U.",False,
