material,species,n_rows,n_tokens,n_matched,best_match_level,matched_genera,matched_families,matched_orders,sead_common_name,sead_species_name
,,1,0.0,0.0,,,,,,
Animalier,Fiskfjäll,1,1.0,0.0,,,,,,
Animalier,Hjorthår,1,1.0,0.0,,,,,,
Animalier,"Hjärnsubstans, människa",1,2.0,0.0,,,,,,
Animalier,Hår,1,1.0,1.0,genus (suffix-inferred),Drosera,Droseraceae,Caryophyllales,,
Animalier,Läder,6,1.0,1.0,genus (suffix-inferred),Sambucus,Alismataceae,Alismatales,,
Animalier,Nötfiber,1,1.0,0.0,,,,,,
Animalier,Nöthår,4,1.0,0.0,,,,,,
Animalier,Renhår,1,1.0,0.0,,,,,,
Animalier,Tagel,2,1.0,0.0,,,,,,
Animalier,Textilfragment,1,1.0,0.0,,,,,,
Animalier,Tjärat nöthår,1,1.0,0.0,,,,,,
Animalier,Tågvirke,1,1.0,0.0,,,,,,
Animalier,Ull,11,1.0,0.0,,,,,,
Animalier,Ulltextil,1,1.0,0.0,,,,,,
Bark,,164,0.0,0.0,,,,,,
Bark,Al,5,1.0,0.0,,,,,,
Bark,Albark,1,1.0,0.0,,,,,,
Bark,Bark,1,1.0,0.0,,,,,,
Bark,Bark/näver,1,2.0,0.0,,,,,,
Bark,Barrträd,1,1.0,0.0,,,,,,
Bark,Björk,21,1.0,1.0,genus (suffix-inferred),Betula,Betulaceae,Fagales,,
Bark,Björknäver,37,1.0,0.0,,,,,,
Bark,Ek,4,1.0,1.0,species (common name),Quercus,Fagaceae,Fagales,ek,Quercus robur
Bark,Gran,1,1.0,1.0,species (common name),Picea,Pinaceae,Pinales,gran,Picea abies ssp abies
Bark,Hassel,3,1.0,1.0,species (common name),Corylus,Corylaceae,Fagales,hassel,Corylus avellana
Bark,Lind,5,1.0,1.0,species (common name),Tilia,Tiliaceae,Malvales,lind,Tilia cordata
Bark,Lindbast,1,1.0,0.0,,,,,,
Bark,Matskorpa,1,1.0,0.0,,,,,,
Bark,Näver,25,1.0,0.0,,,,,,
Bark,Näver?,1,1.0,0.0,,,,,,
Bark,Råg,1,1.0,1.0,species (common name),Secale,Poaceae,Poales,råg,Secale cereale
Bark,Salix sp,1,1.0,1.0,genus (latin),Salix,Salicaceae,Salicales,,
Bark,Sorbus sp,1,1.0,1.0,genus (latin),Sorbus,Rosaceae,Rosales,,
Bark,Tall,18,1.0,1.0,species (common name),Pinus,Pinaceae,Pinales,tall,Pinus sylvestris var sylvestris
Bark,Tallbark,8,1.0,0.0,,,,,,
Bark,cf Tilia sp,1,1.0,1.0,genus (latin),Tilia,Tiliaceae,Malvales,,
"Ben, brända",,342,0.0,0.0,,,,,,
"Ben, brända",(SOL),1,1.0,0.0,,,,,,
"Ben, brända",Bränt ben,1,1.0,0.0,,,,,,
"Ben, brända",Bäver,8,1.0,0.0,,,,,,
"Ben, brända",Däggdjur,52,1.0,0.0,,,,,,
"Ben, brända",Däggfjur,1,1.0,0.0,,,,,,
"Ben, brända",Fisk,2,1.0,0.0,,,,,,
"Ben, brända",Får/get,8,2.0,0.0,,,,,,
"Ben, brända",Får/get alt. Svin,1,2.0,0.0,,,,,,
"Ben, brända",Gris,1,1.0,0.0,,,,,,
"Ben, brända",Gråsäl,1,1.0,0.0,,,,,,
"Ben, brända",Grönlandssäl,1,1.0,0.0,,,,,,
"Ben, brända",Gädda,1,1.0,0.0,,,,,,
"Ben, brända",Horn,1,1.0,1.0,genus (suffix-inferred),Ibicella,Martyniaceae,Lamiales,,
"Ben, brända",Hovdjur,2,1.0,0.0,,,,,,
"Ben, brända",Hund,1,1.0,0.0,,,,,,
"Ben, brända","Hund, Ospec.",1,2.0,0.0,,,,,,
"Ben, brända",Häst,5,1.0,0.0,,,,,,
"Ben, brända",Indet,1,1.0,0.0,,,,,,
"Ben, brända",Katt,1,1.0,0.0,,,,,,
"Ben, brända",Kronhjort,1,1.0,0.0,,,,,,
"Ben, brända",Lamm,1,1.0,0.0,,,,,,
"Ben, brända",Litet däggdjur,2,1.0,0.0,,,,,,
"Ben, brända",Människa,621,1.0,0.0,,,,,,
"Ben, brända","Människa, oid.",2,2.0,0.0,,,,,,
"Ben, brända",Människa?,5,1.0,0.0,,,,,,
