manual_species,count,match_level,genus,family,order,sead_common_name,sead_species_name,kingdom,gbif_usage_key,gbif_canonical_name,gbif_rank,gbif_match_type,gbif_confidence,gbif_url,species_split_english,contributing_species_split,ambiguous_genus_candidates,gbif_source,gbif_genus,gbif_family,gbif_order,gbif_kingdom,gbif_candidate,taxon_id,taxon_id_is_new,common_name_id,common_name_id_is_new,needs_manual_review,review_reason
al,6281,"genus (suffix, ambiguous)",,,,,,,,,,,,,,"al, albark, alknopp, alkottar, alkotte","Lathyrus, Alnus",,,,,,,,False,,False,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Lathyrus, Alnus"
tall,3046,species (common name),Pinus,Pinaceae,Pinales,tall,Pinus sylvestris var sylvestris,Plantae,7230693.0,Pinus sylvestris sylvestris,VARIETY,EXACT,100.0,https://www.gbif.org/species/7230693,Baltic pine,"kottefjäll tall, kottefjäll. tall, tall, tallbark, tallbarr, tallkotte, tallkottefjäll, talll",,carried-over (species_split_taxa_gbif_matches.csv),Pinus,Pinaceae,Pinales,Plantae,Pinus sylvestris var sylvestris,3613,False,2797,False,False,
korn,2230,"genus (suffix, ambiguous)",,,,,,,,,,,,,,"korn, skalkorn","Impatiens, Hordelymus, Hordeum",,,,,,,,False,,False,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Impatiens, Hordelymus, Hordeum"
björk,2082,genus (suffix-inferred),Betula,Betulaceae,Fagales,,,Plantae,2875008.0,Betula,GENUS,HIGHERRANK,95.0,https://www.gbif.org/species/2875008,Birch,"björk, björk bulk, björkl, björknäver",,carried-over (species_split_taxa_gbif_matches.csv),Betula,Betulaceae,Fagales,Plantae,Betula,47010,True,4273,True,False,
ko,1890,animal (common name),Bos,Bovidae,Artiodactyla,ko,Bos taurus,Animalia,2441022.0,Bos taurus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2441022,Aurochs,"kalv, ko, ötkreatur",,carried-over (species_split_taxa_gbif_matches.csv),Bos,Bovidae,Artiodactyla,Animalia,Bos taurus,47011,True,4274,True,False,
ek,1809,species (common name),Quercus,Fagaceae,Fagales,ek,Quercus robur,Plantae,2878688.0,Quercus robur,SPECIES,EXACT,99.0,https://www.gbif.org/species/2878688,Common Oak,"ek, ek bulk, ekbark, ekl, ekollon",,carried-over (species_split_taxa_gbif_matches.csv),Quercus,Fagaceae,Fagales,Plantae,Quercus robur,2614,False,2035,False,False,
hassel,1712,species (common name),Corylus,Corylaceae,Fagales,hassel,Corylus avellana,Plantae,2875979.0,Corylus avellana,SPECIES,EXACT,99.0,https://www.gbif.org/species/2875979,Barcelona-nuts,"hasel, hassel, hasselnöt, hasselskal, obränd hasselnöt",,carried-over (species_split_taxa_gbif_matches.csv),Corylus,Betulaceae,Fagales,Plantae,Corylus avellana,1825,False,1458,False,False,
gran,1258,species (common name),Picea,Pinaceae,Pinales,gran,Picea abies ssp abies,Plantae,7306267.0,Picea abies abies,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/7306267,,"enmöjl gran, förkolnade granbarr, gran, granbar, granbark, granbarr, grankvist, kottefjäll gran",,carried-over (species_split_taxa_gbif_matches.csv),Picea,Pinaceae,Pinales,Plantae,Picea abies ssp abies,3591,False,2782,False,False,
ran,1183,"genus (suffix, ambiguous)",,,,,,,,,,,,,,ran,"Abies, Picea, Pseudotsuga, Taxus",,,,,,,,False,,False,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Abies, Picea, Pseudotsuga, Taxus"
människa,1173,animal (common name),Homo,Hominidae,Primates,människa,Homo sapiens,Animalia,2436436.0,Homo sapiens,SPECIES,EXACT,100.0,https://www.gbif.org/species/2436436,Human,"männinska, människa, männska",,carried-over (species_split_taxa_gbif_matches.csv),Homo,Hominidae,Primates,Animalia,Homo sapiens,47012,True,4275,True,False,
